#1=α 2=β 3=qs 4=S 5=q0 6=s0 7=s1 8=Q 9=qh0 10=qh1 11=sh0 12=sh1 13=Sh 14=Qh 15=ϕ
0.6 Inf 1.0 0.8123650782695038 0.3657112129397792 0.34428048724666516 0.7113739614538761 0.835941548700774 0.9090006803003373 -0.6675682586442792 1.2744949186824215 1.8854290392556028 1.6 3.486756348519812 -0.024755111778608785
0.6 Inf 1.0 0.8174420996617302 0.36571121293977876 0.34299122020465683 0.7141817093179661 0.8459222668862062 0.9090006803003349 -0.6675682586442805 1.3196867790893634 1.9698596878834094 1.7 3.8584725680472367 -0.03312516671927179
0.6 Inf 1.0 0.8217800414591521 0.3657112129397779 0.3418159616953471 0.7165461782333036 0.8547734572356496 0.9090006803003301 -0.667568258644283 1.3652076001040383 2.054207830352795 1.8 4.2515661121287085 -0.04071083544914855
0.6 Inf 1.0 0.8255155459346842 0.3657112129397761 0.3407414850140516 0.7185535738651853 0.8626685523377634 0.9090006803003207 -0.667568258644288 1.410961289111273 2.138404805001523 1.9 4.665642482083713 -0.04761684217343842
0.6 Inf 1.0 0.8287560242966214 0.3657112129397726 0.3397562357314071 0.7202708645044884 0.8697495045074393 0.9090006803003017 -0.6675682586442981 1.4568761380613375 2.2224069120955914 2.0 5.100372045220731 -0.05393189406470045
0.6 Inf 1.0 0.8315881525529215 0.36571121293976583 0.3388485771861914 0.7217513768850881 0.8761331903947602 0.9090006803002654 -0.6675682586443176 1.5028833160659207 2.306178559733087 2.1 5.555429977158235 -0.059734504432712776
0.6 Inf 1.0 0.8340791555946583 0.36571121293975245 0.3380102116225286 0.7230361703473155 0.8819158229845674 0.9090006803001941 -0.667568258644356 1.5489454305480228 2.3897070604215234 2.2 6.030589276466491 -0.06508743879661827
0.6 Inf 1.0 0.8362830305272961 0.3657112129397263 0.3372340171500732 0.7241579092734325 0.887177284003642 0.9090006803000541 -0.6675682586444309 1.5950358629635935 2.472988475071512 2.3 6.525662100403908 -0.07004383384776447
0.6 Inf 1.0 0.838245052038217 0.3657112129396749 0.33651207709172154 0.7251436313780031 0.8919845078002974 0.9090006802997792 -0.6675682586445781 1.6411175169681274 2.5560133975471753 2.4 7.040429621321144 -0.07465258235159677
0.6 Inf 1.0 0.8400005066801031 0.3657112129395741 0.33583932390181337 0.7260143130354993 0.8963934734410555 0.9090006802992395 -0.6675682586448671 1.687178748833151 2.638788271262389 2.5 7.574761441690988 -0.07895173266862543
0.6 Inf 1.0 0.8415788811001217 0.36571121293937614 0.33521076671048083 0.7267873079869119 0.9004515556405901 0.9090006802981799 -0.6675682586454345 1.7332059007637417 2.7213181683663556 2.6 8.128526491299082 -0.08297511093786569
0.6 Inf 1.0 0.8430040610241019 0.36571121293898745 0.3346227024243935 0.7274765847437205 0.9041989430807763 0.9090006802960997 -0.6675682586465486 1.7791961209538143 2.8036144873950333 2.7 8.701637806417311 -0.08675053359639284
0.6 Inf 1.0 0.8442973176448294 0.36571121293822434 0.33406999157209644 0.7280944159531109 0.9076701634334415 0.9090006802920154 -0.6675682586487359 1.825127160269366 2.8856757587090605 2.8 9.293942427338589 -0.0903058273911942
0.6 Inf 1.0 0.8454750789923994 0.36571121293672604 0.3335500171820789 0.7286502634318138 0.9108946795057808 0.9090006802839973 -0.6675682586530304 1.8710015520720447 2.96751534359367 2.9 9.905381233985723 -0.09366142715571335
0.6 Inf 1.0 0.8465516341794471 0.3657112129337848 0.3330598480789414 0.7291522781635077 0.9138979891985057 0.909000680268256 -0.6675682586614606 1.9168156591590078 3.0491420090348917 3.0 10.53587769478706 -0.09683636456297706
0.6 Inf 1.0 0.8475390858933567 0.36571121292801034 0.33259689468091325 0.7296073123859166 0.9167022106913041 0.9090006802373529 -0.6675682586780112 1.9625671049490783 3.1305645916796623 3.1 11.185364253755331 -0.0998472935001502
0.6 Inf 1.0 0.8484477417516846 0.3657112129166741 0.332158861866724 0.7300211609930674 0.9193266176586521 0.9090006801766839 -0.6675682587105032 2.0082544655442893 3.2117918127574647 3.2 11.853780778623648 -0.10270884745375153
0.6 Inf 1.0 0.8492864241334466 0.3657112128944187 0.3317437075761281 0.7303987478081944 0.92178807781985 0.9090006800575781 -0.6675682587742917 2.053877056006692 3.2928321806102385 3.3 12.54107361472539 -0.10543392775695704
0.6 Inf 1.0 0.8500649152881427 0.3657112128507267 0.331347441405867 0.7307450842207059 0.924101667889102 0.9090006798237482 -0.667568258899522 2.099406966102134 3.3736797454532317 3.4 13.247097063802366 -0.10804140969045717
